其	qi	primary
具	ju	primary
典	dian	primary
兹	zi	primary
兹	ci	alt
养	yang	primary
兼	jian	primary
兽	shou	primary
冀	ji	primary
冁	chan	primary
内	nei	primary
冈	gang	primary
冉	ran	primary
册	ce	primary
再	zai	primary
冏	jiong	primary
冒	mao	primary
冔	xu	primary
冕	mian	primary
冗	rong	primary
写	xie	primary
军	jun	primary
农	nong	primary
冠	guan	primary
冢	zhong	primary
冤	yuan	primary
冥	ming	primary
冬	dong	primary
冮	gang	primary
冯	feng	primary
冰	bing	primary
冱	hu	primary
冲	chong	primary
决	jue	primary
况	kuang	primary
冶	ye	primary
冷	leng	primary
冻	dong	primary
冼	xian	primary
冽	lie	primary
净	jing	primary
凄	qi	primary
准	zhun	primary
凇	song	primary
凉	liang	primary
凋	diao	primary
凌	ling	primary
减	jian	primary
凑	cou	primary
凓	li	primary
凘	si	primary
凛	lin	primary
凝	ning	primary
几	ji	primary
凡	fan	primary
凤	feng	primary
凫	fu	primary
凭	ping	primary
凯	kai	primary
凰	huang	primary
凳	deng	primary
凶	xiong	primary
凸	tu	primary
凹	ao	primary
出	chu	primary
击	ji	primary
凼	dang	primary
函	han	primary
凿	zao	primary
刀	dao	primary
刁	diao	primary
刃	ren	primary
分	fen	primary
切	qie	primary
刈	yi	primary
刊	kan	primary
刍	chu	primary
刎	wen	primary
刑	xing	primary
划	hua	primary
刖	yue	primary
列	lie	primary
刘	liu	primary
则	ze	primary
刚	gang	primary
创	chuang	primary
初	chu	primary
删	shan	primary
判	pan	primary
刨	pao	primary
刨	bao	alt
利	li	primary
别	bie	primary
刬	chan	primary
刭	jing	primary
刮	gua	primary
到	dao	primary
刳	ku	primary
制	zhi	primary
刷	shua	primary
券	quan	primary
券	xuan	alt
刹	sha	primary
刹	cha	alt
刺	ci	primary
刻	ke	primary
刽	gui	primary
刿	gui	primary
剀	kai	primary
剁	duo	primary
剂	ji	primary
剃	ti	primary
剅	lou	primary
削	xue	primary
削	xiao	alt
剋	ke	primary
剋	kei	alt
剌	la	primary
前	qian	primary
剐	gua	primary
剑	jian	primary
剔	ti	primary
剕	fei	primary
剖	pou	primary
剜	wan	primary
剞	ji	primary
剟	duo	primary
剡	shan	primary
剥	bo	primary
剥	bao	alt
剧	ju	primary
剩	sheng	primary
剪	jian	primary
副	fu	primary
割	ge	primary
剽	piao	primary
剿	jiao	primary
劁	qiao	primary
劂	jue	primary
劄	zha	primary
劈	pi	primary
劐	huo	primary
劓	yi	primary
力	li	primary
劝	quan	primary
办	ban	primary
功	gong	primary
加	jia	primary
务	wu	primary
劢	mai	primary
劣	lie	primary
动	dong	primary
助	zhu	primary
努	nu	primary
劫	jie	primary
劬	qu	primary
劭	shao	primary
励	li	primary
劲	jin	primary
劲	jing	alt
劳	lao	primary
劼	jie	primary
劾	he	primary
势	shi	primary
勃	bo	primary
勇	yong	primary
勉	mian	primary
勋	xun	primary
勍	qing	primary
勐	meng	primary
勒	lei	primary
勒	le	alt
勔	mian	primary
勖	xu	primary
勘	kan	primary
勚	yi	primary
募	mu	primary
勠	lu	primary
勤	qin	primary
勰	xie	primary
勺	shao	primary
勾	gou	primary
勿	wu	primary
匀	yun	primary
包	bao	primary
匆	cong	primary
匈	xiong	primary
匍	pu	primary
匏	pao	primary
匐	fu	primary
匕	bi	primary
化	hua	primary
北	bei	primary
匙	shi	primary
匙	chi	alt
匜	yi	primary
匝	za	primary
匠	jiang	primary
匡	kuang	primary
匣	xia	primary
匦	gui	primary
匪	fei	primary
匮	kui	primary
匹	pi	primary
区	qu	primary
区	ou	alt
医	yi	primary
匼	ke	primary
匾	bian	primary
匿	ni	primary
十	shi	primary
千	qian	primary
卅	sa	primary
升	sheng	primary
午	wu	primary
卉	hui	primary
半	ban	primary
华	hua	primary
协	xie	primary
卑	bei	primary
卒	zu	primary
卒	cu	alt
卓	zhuo	primary
单	dan	primary
单	chan	alt
单	shan	alt
卖	mai	primary
南	nan	primary
南	na	alt
博	bo	primary
卜	bo	primary
卜	bu	alt
卞	bian	primary
卟	bu	primary
占	zhan	primary
卡	ka	primary
卡	qia	alt
卢	lu	primary
卣	you	primary
卤	lu	primary
卦	gua	primary
卧	wo	primary
卫	wei	primary
卬	ang	primary
卮	zhi	primary
卯	mao	primary
印	yin	primary
危	wei	primary
即	ji	primary
却	que	primary
卵	luan	primary
卷	juan	primary
卸	xie	primary
卺	jin	primary
卿	qing	primary
厂	chang	primary
厄	e	primary
厅	ting	primary
历	li	primary
厉	li	primary
压	ya	primary
厌	yan	primary
厍	she	primary
厕	ce	primary
厖	pang	primary
厖	mang	alt
厘	li	primary
厚	hou	primary
厝	cuo	primary
原	yuan	primary
厢	xiang	primary
厣	yan	primary
厥	jue	primary
厦	sha	primary
厦	xia	alt
厨	chu	primary
厩	jiu	primary
厮	si	primary
去	qu	primary
厾	du	primary
县	xian	primary
叁	san	primary
参	can	primary
参	cen	alt
参	shen	alt
叆	ai	primary
叇	dai	primary
又	you	primary
叉	cha	primary
及	ji	primary
友	you	primary
双	shuang	primary
反	fan	primary
发	fa	primary
叔	shu	primary
