# XHUP Flow 规范高频词语数据:万象 / RIME-LMDG 基础词库的规范子集
# source_repo: amzxyz/rime-wanxiang
# source_commit: 4618d67a978ff4f41b165c10b35558d38e333ab1
# source_path: dicts/jichu.dict.yaml
# source_blob_sha: a0f66e2fc6130f3f1c9b2e5109644c8b893477b0
# source_license: CC-BY-4.0
# semantic_source: amzxyz/RIME-LMDG
# normalization: 与字频数据一致(去声调五组;ü 族→v;ńňǹ→n;ḿ→m;
#   归一化后仍含非 a-z 字符的源读音视为坏行忽略)
# aggregation: 归一化后落到同一 (词, 规范读音序列) 的全部源行分数按 u64 校验和聚合
# match_policy: 每字属于规范 8105 清单、对应读音是该字规范读音且可编码为
#   XHUP 输入音节;不发明新读音
# collision_policy: 二字词按 semantic entry(词 + 读音序列)推导 4 键码,
#   与规范单字全码集冲突的 semantic entry 被排除;同词形的不冲突读音序列保留
# selection: 各词长独立按 (分数降序, 词 Unicode 升序, 读音序列升序) 取
#   前 50000 / 30000 / 20000 条;合法候选不足目标即失败,不静默缩水
# serialization: 词长升序 → 词 Unicode 升序 → 读音序列升序
# rows: 100000
三摄	san she	3721
三支	san zhi	1391
三斤	san jin	945
三方	san fang	5266
三无	san wu	2242
三日	san ri	1915
三旬	san xun	868
三星	san xing	34502
三是	san shi	1927
三晋	san jin	750
三更	san geng	1809
三月	san yue	5303
三有	san you	1125
三朝	san chao	927
三期	san qi	2273
三木	san mu	769
三本	san ben	9071
三条	san tiao	4726
三来	san lai	1080
三杯	san bei	5438
三杰	san jie	822
三柱	san zhu	765
三栋	san dong	850
三株	san zhu	808
三样	san yang	1592
三根	san gen	1608
三桂	san gui	1174
三桌	san zhuo	1004
三楼	san lou	3558
三次	san ci	23512
三款	san kuan	6767
三步	san bu	4973
三段	san duan	3256
三比	san bi	820
三洋	san yang	989
三流	san liu	1471
三浪	san lang	738
三清	san qing	1125
三滤	san lv	1300
三滴	san di	938
三潭	san tan	788
三点	san dian	14504
三爷	san ye	1473
三片	san pian	2255
三环	san huan	983
三生	san sheng	1036
三田	san tian	954
三甲	san jia	2643
三电	san dian	802
三界	san jie	857
三白	san bai	945
三百	san bai	3382
三码	san ma	882
三碟	san die	990
三种	san zhong	26285
三秒	san miao	1721
三立	san li	1426
三站	san zhan	2396
三章	san zhang	813
三笔	san bi	911
三等	san deng	1203
三米	san mi	763
三类	san lei	4729
三精	san jing	790
三系	san xi	916
三红	san hong	783
三级	san ji	8858
三纵	san zong	868
三组	san zu	2063
三经	san jing	976
三维	san wei	7165
三缸	san gang	2057
三者	san zhe	9684
三联	san lian	1403
三胎	san tai	1903
三能	san neng	824
三脚	san jiao	885
三船	san chuan	744
三色	san se	1551
三节	san jie	932
三花	san hua	954
三菱	san ling	3272
三营	san ying	936
三行	san hang	744
三要	san yao	1242
三观	san guan	12799
三角	san jiao	5784
三论	san lun	774
三语	san yu	837
三请	san qing	1184
三费	san fei	770
三赢	san ying	889
三超	san chao	976
三越	san yue	837
三转	san zhuan	927
三轮	san lun	2647
三轴	san zhou	797
三连	san lian	3897
三遍	san bian	5194
三道	san dao	1560
三郎	san lang	1821
三郡	san jun	810
