# 官网形码审计表(2026-09-15):hanzi_shapes.tsv 切换前的差异比对数据,不被 include_str 消费
# source: flypy.cc ixdata.json 8414 字;列:字<TAB>官网形码集合(|分隔)<TAB>官网全码(音2形2)<TAB>现表形码(<TAB>标记
# 官网权威性由所有者确认;差异 345 处根因:官网按笔顺首末部件,现表按字义主部件(见 CROSSCHECK.md)
# 切换计划:后续代码 PR 修改 xhup-core shape.rs 消费本表后,hanzi_shapes.tsv 才更新
体	rb	tirb	rb	
何	rk	herk	rk	
佖	rb	birb	rb	
佗	rb	torb	rb	
佘	rx	uerx	rx	
余	rh	yurh	rm	DIFF
佚	ru	yiru	ru	
佛	rf	forf furf	rf	
作	rv	zorv	rv	
佝	rk	gzrk	rk	
佞	rn	nkrn	rn	
佟	rd	tsrd	rd	
你	rx	nirx	rx	
佢	rj	qurj	-	
佣	ry	ysry	ry	
佤	rw	warw	rw	
佥	ra	qmra	ra	
佧	rb	karb	-	
佩	rj	pwrj	rj	
佬	rb	lcrb	rb	
佯	ry	yhry	ry	
佰	rb	bdrb	rb	
佳	rt	jxrt	rt	
佴	re	erre ndre	re	
佶	rk	jirk	rk	
佸	rk	hork	rk	
佺	rw	qrrw	rw	
佻	rd	tnrd	rd	
佼	rx	jnrx	rx	
佽	rr	cirr	rr	
佾	ro	yiro	ro	
使	rl	uirl	rl	
侁	re	ufre	re	
侂	rq	torq	rq	
侃	rv	kjrv	rv	
侄	rt	virt	rt	
侈	rx	iirx	rx	
侉	rk	kxrk	rk	
例	rd	lird	rd	
侍	rc	uirc	rc	
侏	rv	vurv	rv	
侑	ro	yzro	ro	
侔	rn	mzrn	rn	
侗	rk	dsrk tsrk	rk	
侘	rq	iarq	rq	
供	rb	gsrb	rb	
依	ry	yiry	ry	
侠	rj	xxrj	rj	
価	rx	jxrx	-	
侣	rk	lvrk	rk	
侥	rw	jnrw ycrw	rw	
侦	rr	vfrr	rr	
侧	rd	cerd vdrd	rd	
侨	rl	qnrl	rl	
侩	rs	kkrs	rs	
侪	rl	idrl	rl	
侬	rn	nsrn	rn	
侮	rm	wurm	rm	
侯	ru	hzru	ru	
侴	rd	hcrd	rd	
侵	ry	qbry	ry	
侹	rz	tkrz	rz	
便	rg	bmrg pmrg	rg	
係	rx	xirx	-	
促	rr	curr	rr	
俄	rw	eerw	rw	
俅	rq	qqrq	rq	
俊	rw	jyrw	rw	
俍	rl	llrl	rl	
俎	rq	zurq	rq	
俏	ro	qnro	ro	
俐	rd	lird	rd	
俑	ry	ysry	ry	
俗	rk	surk	rk	
俘	rz	furz	rz	
俙	rj	xirj	rj	
俚	rl	lirl	rl	
俜	rv	pkrv	rv	
保	rm	bcrm	rm	
俞	rd	yurd	rd	
俟	ru	siru qiru	ru	
信	rk	xbrk	rk	
俣	rt	yurt	rt	
俤	rp	dirp	-	
俦	rc	izrc	rc	
俨	ry	yjry	ry	
俩	rl	lxrl llrl	rl	
俪	rl	lirl	rl	
俫	rl	ldrl	rl	
俭	ra	jmra	ra	
修	rp	xqrp	rp	
俯	rc	furc	rc	
俱	rb	jurb	rb	
俳	rf	pdrf	rf	
俵	ry	bnry	ry	
俶	ry	iury tiry	ry	
俸	rl	fgrl	rl	
俺	rd	anrd	rd	
俾	ru	biru	ru	
倌	rk	grrk	rk	
倍	rk	bwrk	rk	
倏	rq	uurq	rq	
倒	rd	dcrd	rd	
倓	rh	tjrh	rh	
倔	ri	jtri	ri	
倕	ri	ivri	ri	
倘	rk	thrk ihrk	rk	
候	ru	hzru	ru	
倚	rk	yirk	rk	
倜	rk	tirk	rk	
倞	rx	jkrx llrx	rx	
借	ro	jpro	ro	
倡	ro	ihro	ro	
倥	rg	ksrg	rg	
倦	rv	jrrv	rv	
倧	rx	zsrx	rx	
