书	乛 丶	乛 乛 丨 丶	shū
乩	丨 乛	丨 一 口 乛	jī
买	乛 大	乛 丶 丶 大	mǎi
乱	千 乛	千 口 乛	luàn
乳	丿 乛	丿 ⺍ 子 乛	rǔ
乸	也 母	也 母	nǎ
乾	十 乞	十 日 十 乞	qián gān
了	乛 丨	乛 丨	liǎo liào le
予	龴 丨	龴 乛 丨	yú yǔ
争	⺈ 丨	⺈ 乛 一 一 丨	zhēng
事	一 丨	一 丨 乛 一 乛 一 一 丨	shì
二	一 一	一 一	èr
亍	一 丁	一 丁	chù
于	一 丨	一 一 丨	yú
亏	二 乛	二 乛	kuī
云	二 厶	二 厶	yún
互	一 一	一 乛 乛 一	hù
亓	二 丨	二 丿 丨	qí
五	一 一	一 丨 乛 一	wǔ
井	一 丨	一 一 丿 丨	jǐng
亖	二 二	二 二	sì
亘	一 一	一 日 一	gèn
亚	一 业	一 业	yà
些	止 二	止 匕 二	xiē
亟	了 一	了 口 又 一	jí qì
亡	亠 乛	亠 乛	wáng wú
亢	亠 几	亠 几	kàng
交	亠 乂	亠 八 乂	jiāo
亥	亠 人	亠 乛 丿 人	hài
亦	亠 丶	亠 丿 丨 丿 丶	yì
产	立 丿	立 丿	chǎn
亨	亠 了	亠 口 了	hēng pēng
亩	亠 田	亠 田	mǔ
享	亠 子	亠 口 子	xiǎng
京	亠 小	亠 口 小	jīng
亭	亠 丁	亠 口 冖 丁	tíng
亮	亠 几	亠 口 冖 几	liàng
亲	立 朩	立 朩	qīn qìng
亳	亠 七	亠 口 冖 丿 七	bó
亵	亠 𧘇	亠 扌 丸 𧘇	xiè
亶	亠 一	亠 囗 口 日 一	dǎn dàn
亸	亠 丨	亠 口 子 丷 丨 乛 一 一 一 丨	duǒ
亹	亠 且	亠 丿 丨 一 一 冂 一 口 乛 一 一 冖 且	wěi mén
人	丿 ㄟ	丿 ㄟ	rén
亽	人 丶	人 丶	jí
亿	亻 乛	亻 乛	yì
什	亻 十	亻 十	shí shén
仁	亻 二	亻 二	rén
仂	亻 力	亻 力	lè
仃	亻 丁	亻 丁	dīng
仄	厂 人	厂 人	zè
仅	亻 又	亻 又	jǐn jìn
仆	亻 卜	亻 卜	pū pú
仇	亻 九	亻 九	chóu qiú
仉	亻 几	亻 几	zhǎng
今	人 乛	人 丶 乛	jīn
介	人 丨	人 丿 丨	jiè
仌	人 人	人 人	bīng
仍	亻 乃	亻 乃	réng
从	人 人	人 人	cóng zòng
仑	人 匕	人 匕	lún
仓	人 乛	人 乛 乛	cāng
仔	亻 子	亻 子	zī zǐ zǎi
仕	亻 士	亻 士	shì
他	亻 也	亻 也	tā
仗	亻 丈	亻 丈	zhàng
付	亻 寸	亻 寸	fù
仙	亻 山	亻 山	xiān
仝	人 工	人 工	tóng
仞	亻 刃	亻 刃	rèn
仟	亻 千	亻 千	qiān
仡	亻 乞	亻 乞	yì gē
代	亻 弋	亻 弋	dài
令	人 龴	人 丶 龴	líng lǐng lìng
以	乛 人	乛 丶 人	yǐ
仨	亻 三	亻 三	sā
仪	亻 义	亻 义	yí
仫	亻 么	亻 么	mù
们	亻 门	亻 门	mén
仰	亻 卩	亻 丿 乛 卩	yǎng áng
仲	亻 中	亻 中	zhòng
仳	亻 匕	亻 比左 匕	pǐ pí
仵	亻 午	亻 午	wǔ
件	亻 牛	亻 牛	jiàn
