# XHUP Flow optimizer v2 FIXED_FIRST word shortcuts.
# Source universe: data/words/wanxiang_base_words.tsv
# operating point: rk-steep|a0.25|d0.5|x1|e-conversation
# parameters: rank_curve/ambiguity/disruption/xhup_deviation/evidence = rk-steep|a0.25|d0.5|x1|e-conversation
# generated: 2026-09-08 by export-v2-canonical (deterministic; do not hand-edit)
# input dump sha256: a451bce1187efba0edbd7d3d02bc17331fb3da9dc903625e57c3dc310b6c60ea
# selected mapping sha256: a8ab5f6deae91f28e02f790153cfba9ab493605ee9e84aad0abea5a660012cdc
多看	dokj	dok	FI
多米	domi	dom	FI
多拍	dopd	dop	FI
多听	dotk	dot	FI
多种	dovs	dov	FI
多万	dowj	dow	FI
多于	doyu	doy	FI
躲在	dozd	doz	FI
大批量	dapill	dpl	III
爹妈	dpma	dpm	FI
大品牌	dapbpd	dpp	III
打喷嚏	dapfti	dpt	III
当然会	dhrjhv	drh	III
端头	drtz	drt	FI
当然是	dhrjui	dru	III
都认为	dzrfww	drw	III
东城	dsig	dsi	FI
多思考	dosikc	dsk	III
动漫	dsmj	dsm	FI
东欧	dsou	dso	FI
打算去	dasrqu	dsq	III
第三天	disjtm	dst	III
董事	dsui	dsu	FI
但是不	djuibu	dub	III
但是从	djuics	duc	III
当时的	dhuide	dud	III
都是很	dzuihf	duh	III
大数据	dauuju	duj	III
都什么	dzufme	dum	III
但是呢	djuine	dun	III
短视频	druipb	dup	III
但是她	djuita	dut	III
电视上	dmuiuh	duu	III
读者	duve	duv	FI
的证据	devgju	dvj	III
地址是	diviui	dvu	III
电影的	dmykde	dyd	III
电影节	dmykjp	dyj	III
第一名	diyimk	dym	III
打游戏	dayzxi	dyx	III
都曾	dzcg	dzc	FI
打造成	dazcig	dzi	III
都叫	dzjn	dzj	FI
斗争	dzvg	dzv	FI
都有	dzyz	dzy	FI
恶毒	eedu	eed	FI
而如今	errujb	erj	III
二人	errf	err	FI
二叔	eruu	eru	FI
二位	erww	erw	FI
二字	erzi	erz	FI
法人	farf	far	FI
发声	faug	fau	FI
发问	fawf	faw	FI
分封	fffg	fff	FI
分解	ffjp	ffj	FI
分歧	ffqi	ffq	FI
分摊	fftj	fft	FI
方法是	fhfaui	ffu	III
分为	ffww	ffw	FI
焚心	ffxb	ffx	FI
分页	ffye	ffy	FI
风采	fgcd	fgc	FI
凤凰	fghl	fgh	FI
封口	fgkz	fgk	FI
蜂蜜	fgmi	fgm	FI
法国人	fagorf	fgr	III
封锁	fgso	fgs	FI
丰收	fguz	fgu	FI
封印	fgyb	fgy	FI
疯子	fgzi	fgz	FI
妨碍	fhai	fha	FI
方程	fhig	fhi	FI
房间	fhjm	fhj	FI
放慢	fhmj	fhm	FI
放置	fhvi	fhv	FI
翻开	fjkd	fjk	FI
贩卖	fjmd	fjm	FI
繁体	fjti	fjt	FI
范围	fjww	fjw	FI
复合	fuhe	fuh	FI
附近	fujb	fuj	FI
富士康	fuuikh	fuk	III
发生了	faugle	ful	III
抚摸	fumo	fum	FI
赋能	fung	fun	FI
福气	fuqi	fuq	FI
复苏	fusu	fus	FI
附图	futu	fut	FI
复试	fuui	fuu	FI
富翁	fuwg	fuw	FI
复试线	fuuixm	fux	III
富裕	fuyu	fuy	FI
发生在	faugzd	fuz	III
肺癌	fwai	fwa	FI
肺部	fwbu	fwb	FI
飞得	fwde	fwd	FI
服务号	fuwuhc	fwh	III
飞机	fwji	fwj	FI
服务器	fuwuqi	fwq	III
飞速	fwsu	fws	FI
飞行	fwxk	fwx	FI
服务业	fuwuye	fwy	III
古埃及	guaiji	gaj	III
戛纳	gana	gan	FI
告白	gcbd	gcb	FI
高层	gccg	gcc	FI
高阶	gcjp	gcj	FI
高速	gcsu	gcs	FI
高中	gcvs	gcv	FI
搞笑	gcxn	gcx	FI
高雅	gcya	gcy	FI
改版	gdbj	gdb	FI
固定的	gudkde	gdd	III
概况	gdkl	gdk	FI
改天	gdtm	gdt	FI
个案	gean	gea	FI
哥哥	gege	geg	FI
歌唱	geih	gei	FI
歌剧	geju	gej	FI
各科	geke	gek	FI
格里	geli	gel	FI
嗝屁	gepi	gep	FI
歌颂	gess	ges	FI
歌坛	getj	get	FI
歌手	geuz	geu	FI
个中	gevs	gev	FI
各有	geyz	gey	FI
跟着	gfve	gfv	FI
尴尬的	gjgade	ggd	III
公共课	gsgske	ggk	III
更替	ggti	ggt	FI
更是	ggui	ggu	FI
广告主	glgcvu	ggv	III
更远	ggyr	ggy	FI
钢联	ghlm	ghl	FI
港台	ghtd	ght	FI
更合适	ggheui	ghu	III
规划中	gvhxvs	ghv	III
赶紧把	gjjbba	gjb	III
关键词	grjmci	gjc	III
国家队	gojxdv	gjd	III
干饭	gjfj	gjf	FI
干活	gjho	gjh	FI
公交车	gsjnie	gji	III
攻击力	gsjili	gjl	III
甘肃	gjsu	gjs	FI
关键是	grjmui	gju	III
归咎于	gvjqyu	gjy	III
光明	glmk	glm	FI
管理器	grliqi	glq	III
光头	gltz	glt	FI
国宝	gobc	gob	FI
过的	gode	god	FI
过场	goih	goi	FI
国籍	goji	goj	FI
国美	gomw	gom	FI
过牌	gopd	gop	FI
过天	gotm	got	FI
果实	goui	gou	FI
国债	govd	gov	FI
关爱	grai	gra	FI
棺材	grcd	grc	FI
公认的	gsrfde	grd	III
观光	grgl	grg	FI
该如何	gdruhe	grh	III
关门	grmf	grm	FI
官配	grpw	grp	FI
更让人	ggrhrf	grr	III
官司	grsi	grs	FI
罐头	grtz	grt	FI
观望	grwh	grw	FI
关系	grxi	grx	FI
公司的	gsside	gsd	III
供奉	gsfg	gsf	FI
攻城	gsig	gsi	FI
功课	gske	gsk	FI
公里	gsli	gsl	FI
攻势	gsui	gsu	FI
公主	gsvu	gsv	FI
告诉我	gcsuwo	gsw	III
骨癌	guai	gua	FI
鼓点	gudm	gud	FI
孤儿	guer	gue	FI
估计	guji	guj	FI
过什么	goufme	gum	III
谷内	gunw	gun	FI
骨髓	gusv	gus	FI
固体	guti	gut	FI
故事中	guuivs	guv	III
故事线	guuixm	gux	III
归属于	gvuuyu	guy	III
规避	gvbi	gvb	FI
关注的	grvude	gvd	III
关注过	grvugo	gvg	III
公众号	gsvshc	gvh	III
闺女	gvnv	gvn	FI
贵人	gvrf	gvr	FI
柜体	gvti	gvt	FI
更专业	ggvrye	gvy	III
贵族	gvzu	gvz	FI
挂耳	gxer	gxe	FI
挂科	gxke	gxk	FI
该项目	gdxlmu	gxm	III
更需要	ggxuyc	gxy	III
供应商	gsykuh	gyu	III
更愿意	ggyryi	gyy	III
更糟糕	ggzcgc	gzg	III
工作量	gszoll	gzl	III
够你	gzni	gzn	FI
购入	gzru	gzr	FI
构思	gzsi	gzs	FI
构图	gztu	gzt	FI
工作室	gszoui	gzu	III
工作者	gszove	gzv	III
够用	gzys	gzy	FI
构造	gzzc	gzz	FI
好不	hcbu	hcb	FI
好菜	hccd	hcc	FI
好哒	hcda	hcd	FI
号称	hcig	hci	FI
好找	hcvc	hcv	FI
获得过	hodego	hdg	III
海绵	hdmm	hdm	FI
还去	hdqu	hdq	FI
海外	hdwd	hdw	FI
好电影	hcdmyk	hdy	III
和蔼	heai	hea	FI
合规	hegv	heg	FI
合力	heli	hel	FI
核能	heng	hen	FI
合拍	hepd	hep	FI
和气	heqi	heq	FI
核算	hesr	hes	FI
赫塔	heta	het	FI
和声	heug	heu	FI
河镇	hevf	hev	FI
何为	heww	hew	FI
很恶心	hfeexb	hex	III
和音	heyb	hey	FI
很有	hfyz	hfy	FI
灰姑娘	hvgunl	hgn	III
回过头	hvgotz	hgt	III
很好地	hfhcde	hhd	III
很好看	hfhckj	hhk	III
航司	hhsi	hhs	FI
化合物	hxhewu	hhw	III
涵盖	hjgd	hjg	FI
汉化	hjhx	hjh	FI
含金量	hjjbll	hjl	III
好久没	hcjqmw	hjm	III
黄金期	hljbqi	hjq	III
好几天	hcjitm	hjt	III
很紧张	hfjbvh	hjv	III
好几万	hcjiwj	hjw	III
环境下	hrjkxx	hjx	III
韩语	hjyu	hjy	FI
汉族	hjzu	hjz	FI
坏处	hkiu	hki	FI
后来的	hzldde	hld	III
惶恐	hlks	hlk	FI
黄牛	hlnq	hln	FI
后来者	hzldve	hlv	III
好莱坞	hcldwu	hlw	III
荒野	hlye	hly	FI
皇族	hlzu	hlz	FI
伙伴	hobj	hob	FI
活法	hofa	hof	FI
活成	hoig	hoi	FI
获奖	hojl	hoj	FI
获客	hoke	hok	FI
获利	holi	hol	FI
豁免	homm	hom	FI
货品	hopb	hop	FI
火影	hoyk	hoy	FI
缓存	hrcy	hrc	FI
换代	hrdd	hrd	FI
缓缓	hrhr	hrh	FI
环境	hrjk	hrj	FI
还款	hrkr	hrk	FI
会让你	hvrhni	hrn	III
还钱	hrqm	hrq	FI
宏观	hsgr	hsg	FI
红火	hsho	hsh	FI
宏景	hsjk	hsj	FI
宏利	hsli	hsl	FI
红米	hsmi	hsm	FI
洪水	hsuv	hsu	FI
红屋	hswu	hsw	FI
红线	hsxm	hsx	FI
红叶	hsye	hsy	FI
呼你	huni	hun	FI
会失去	hvuiqu	huq	III
湖中	huvs	huv	FI
互为	huww	huw	FI
很熟悉	hfuuxi	hux	III
很实用	hfuiys	huy	III
回报	hvbc	hvb	FI
慧聪	hvcs	hvc	FI
汇给	hvgw	hvg	FI
会很	hvhf	hvh	FI
很正常	hfvgih	hvi	III
回家	hvjx	hvj	FI
还这么	hdveme	hvm	III
化妆品	hxvlpb	hvp	III
灰色	hvse	hvs	FI
会堂	hvth	hvt	FI
晦朔	hvuo	hvu	FI
会为	hvww	hvw	FI
回显	hvxm	hvx	FI
很重要	hfvsyc	hvy	III
花粉	hxff	hxf	FI
呼吸机	huxiji	hxj	III
很辛苦	hfxbku	hxk	III
化脓	hxns	hxn	FI
回想起	hvxlqi	hxq	III
很有名	hfyzmk	hym	III
会因为	hvybww	hyw	III
会影响	hvykxl	hyx	III
后安	hzan	hza	FI
后背	hzbw	hzb	FI
很糟糕	hfzcgc	hzg	III
很早就	hfzcjq	hzj	III
孩子们	hdzimf	hzm	III
后腿	hztv	hzt	FI
合作者	hezove	hzv	III
后续	hzxu	hzx	FI
后摇	hzyc	hzy	FI
查到	iadc	iad	FI
差额	iaee	iae	FI
差距	iaju	iaj	FI
插口	iakz	iak	FI
茶品	iapb	iap	FI
插曲	iaqu	iaq	FI
插入	iaru	iar	FI
插图	iatu	iat	FI
插上	iauh	iau	FI
查询	iaxy	iax	FI
插座	iazo	iaz	FI
炒锅	icgo	icg	FI
超级	icji	icj	FI
潮流	iclq	icl	FI
超速	icsu	ics	FI
朝着	icve	icv	FI
朝向	icxl	icx	FI
充电宝	isdmbc	idb	III
拆解	idjp	idj	FI
长度为	ihduww	idw	III
车头	ietz	iet	FI
车身	ieuf	ieu	FI
沉浮	iffu	iff	FI
沉闷	ifmf	ifm	FI
沉思	ifsi	ifs	FI
尘土	iftu	ift	FI
除非是	iufwui	ifu	III
趁着	ifve	ifv	FI
沉稳	ifwf	ifw	FI
冲锋衣	isfgyi	ify	III
承包	igbc	igb	FI
成都	igdu	igd	FI
成分	igff	igf	FI
成功	iggs	igg	FI
成绩	igji	igj	FI
诚恳	igkf	igk	FI
城里	igli	igl	FI
诚聘	igpb	igp	FI
成人	igrf	igr	FI
城乡	igxl	igx	FI
诚意	igyi	igy	FI
称作	igzo	igz	FI
场次	ihci	ihc	FI
长城	ihig	ihi	FI
场景	ihjk	ihj	FI
长矛	ihmc	ihm	FI
场上	ihuh	ihu	FI
场外	ihwd	ihw	FI
畅游	ihyz	ihy	FI
尺寸	iicy	iic	FI
吃果	iigo	iig	FI
常常会	ihihhv	iih	III
吃吃	iiii	iii	FI
痴迷	iimi	iim	FI
耻辱	iiru	iir	FI
吃相	iixl	iix	FI
超级棒	icjibh	ijb	III
成交额	igjnee	ije	III
产妇	ijfu	ijf	FI
成就感	igjqgj	ijg	III
超级好	icjihc	ijh	III
产出	ijiu	iji	FI
缠绕	ijrc	ijr	FI
缠着	ijve	ijv	FI
颤音	ijyb	ijy	FI
沉浸在	ifjbzd	ijz	III
创建	iljm	ilj	FI
窗口	ilkz	ilk	FI
创新	ilxb	ilx	FI
传祺	irqi	irq	FI
传销	irxn	irx	FI
冲刺	isci	isc	FI
冲服	isfu	isf	FI
重合	ishe	ish	FI
重建	isjm	isj	FI
冲天	istm	ist	FI
重修	isxq	isx	FI
处罚	iufa	iuf	FI
出海	iuhd	iuh	FI
出处	iuiu	iui	FI
抽时间	izuijm	iuj	III
出色	iuse	ius	FI
出示	iuui	iuu	FI
初心	iuxb	iux	FI
厨子	iuzi	iuz	FI
持证人	iivgrf	ivr	III
常喜欢	ihxihr	ixh	III
纯爱	iyai	iya	FI
纯粹	iycv	iyc	FI
春节	iyjp	iyj	FI
出一套	iuyitc	iyt	III
春晚	iywj	iyw	FI
筹备	izbw	izb	FI
仇恨	izhf	izh	FI
抽奖	izjl	izj	FI
稠密	izmi	izm	FI
丑女	iznv	izn	FI
抽屉	izti	izt	FI
创造性	ilzcxk	izx	III
抽烟	izyj	izy	FI
金宝	jbbc	jbb	FI
就不错	jqbuco	jbc	III
基本功	jibfgs	jbg	III
就不会	jqbuhv	jbh	III
记笔记	jibiji	jbj	III
就包括	jqbcko	jbk	III
劲能	jbng	jbn	FI
近似	jbsi	jbs	FI
就不太	jqbutd	jbt	III
即便是	jibmui	jbu	III
禁止	jbvi	jbv	FI
金本位	jbbfww	jbw	III
就不要	jqbuyc	jby	III
既不	jibu	jib	FI
急促	jicu	jic	FI
机房	jifh	jif	FI
集成	jiig	jii	FI
极具	jiju	jij	FI
即可	jike	jik	FI
极了	jile	jil	FI
纪念	jinm	jin	FI
及其	jiqi	jiq	FI
集团	jitr	jit	FI
技术	jiuu	jiu	FI
